"Geography","Percent of Population Ages <15","Percent of Population Ages 65+","Births per 1,000 Population"
"Oman","22","3","21"
"Qatar","14","1","11"
"Saudi Arabia","25","3","20"
"Syria","37","4","22"
"Turkey","24","8","17"
"United Arab Emirates","14","1","10"
"Yemen","41","3","32"
"CENTRAL ASIA","29","5","24"
"Kazakhstan","25","7","23"
"Kyrgyzstan","32","4","27"
"Tajikistan","35","3","29"
"Turkmenistan","30","4","27"
"Uzbekistan","28","4","23"
"SOUTH ASIA","29","5","22"
"Afghanistan","45","2","35"
"Bangladesh","29","5","19"
"Bhutan","27","5","19"
"India","29","6","21"
"Iran","24","5","20"
"Maldives","23","4","20"
"Nepal","31","5","20"
"Pakistan","35","4","29"
"Sri Lanka","25","9","16"
"SOUTHEAST ASIA","27","6","18"
"Brunei","24","4","16"
"Cambodia","32","4","24"
"Indonesia","28","5","19"
"Laos","34","4","24"
"Malaysia","25","6","17"
"Myanmar","28","5","18"
"Philippines","32","5","23"
"Singapore","15","12","9"
"Thailand","18","11","11"
"Timor-Leste","44","3","38"
"Vietnam","24","8","16"
"EAST ASIA","16","12","12"
"China","17","11","13"
"Japan","12","28","8"
"Korea, North","21","10","14"
"Korea, South","13","14","8"
"Mongolia","29","4","27"
"Taiwan","14","13","9"
"EUROPE","16","18","11"
"NORTHERN EUROPE","18","18","12"
"Denmark","17","19","11"
"Estonia","16","19","11"
"Finland","16","21","10"
"Iceland","20","14","12"
"Ireland","21","13","14"
"Latvia","15","20","11"
"Lithuania","15","19","11"
"Norway","18","17","11"
"Sweden","18","20","12"
"United Kingdom","18","18","12"
"WESTERN EUROPE","15","20","10"
"Austria","14","19","10"
"Belgium","17","19","11"
"France","18","19","12"
"Germany","13","21","9"
"Liechtenstein","15","17","9"
"Luxembourg","16","14","10"
"Monaco","13","26","7"
"Netherlands","16","18","10"
"Switzerland","15","18","11"
"EASTERN EUROPE","16","15","11"
"Belarus","17","15","12"
"Bulgaria","14","21","9"
"Czech Republic","15","18","11"
"Hungary","14","18","10"
"Moldova","16","11","11"
"Poland","15","16","10"
"Romania","16","17","10"
"Russia","17","14","13"
"Slovakia","15","14","11"
"Ukraine","15","16","9"
"SOUTHERN EUROPE","14","20","9"
"Albania","18","13","11"
"Andorra","14","14","9"
"Bosnia-Herzegovina","14","16","9"
"Croatia","15","19","9"
"Greece","14","21","8"
"Italy","14","22","8"
"Kosovo","24","8","13"
"Macedonia","17","13","11"
"Malta","14","19","10"
"Montenegro","18","14","12"
"Portugal","14","21","8"
"San Marino","15","19","8"
"Serbia","14","19","9"
"Slovenia","15","17","10"
"Spain","15","19","9"
"OCEANIA","23","12","16"
"Australia","19","15","13"
"Federated States of Micronesia","34","4","22"
"Fiji","29","6","18"
"French Polynesia","24","7","14"
"Guam","25","8","21"
"Kiribati","35","4","29"
"Marshall Islands","41","3","27"
"Nauru","37","13","34"
"New Caledonia","24","9","15"
"New Zealand","20","15","13"
"Palau","21","7","13"
"Papua New Guinea","37","4","28"
"Samoa","37","5","26"
"Solomon Islands","40","3","29"
"Tonga","36","6","24"
"Tuvalu","33","5","25"
"Vanuatu","36","4","27"
