"Geography","Adolescent Fertility Rate Ages 15-19","% Ages 15-24 With HIV/AIDS, Males 2016","% Ages 15-24 With HIV/AIDS, Females 2016"
"CENTRAL AMERICA","69","0.1","0.1"
"Belize","74","0.7","0.9"
"Costa Rica","54","0.3","0.1"
"El Salvador","74","0.3","0.2"
"Guatemala","92","0.2","0.2"
"Honduras","101","0.2","0.1"
"Mexico","62","0.1","0.0499"
"Nicaragua","88","0.1","0.0499"
"Panama","81","0.5","0.3"
"CARIBBEAN","64","0.4","0.5"
"Antigua and Barbuda","45","---","---"
"Bahamas","29","1.9","1.5"
"Barbados","40","0.3","0.3"
"Cuba","46","0.3","0.2"
"Curacao","33","---","---"
"Dominica","---","---","---"
"Dominican Republic","89","0.3","0.4"
"Grenada","31","---","---"
"Haiti","66","0.5","0.8"
"Jamaica","70","0.9","0.6"
"Puerto Rico","39","---","---"
"St. Kitts-Nevis","---","---","---"
"Saint Lucia","42","---","---"
"St. Vincent and the Grenadines","51","---","---"
"Trinidad and Tobago","32","0.4","0.3"
"SOUTH AMERICA","66","0.3","0.2"
"Argentina","63","0.2","0.1"
"Bolivia","69","0.1","0.0499"
"Brazil","63","0.3","0.2"
"Chile","47","0.3","0.2"
"Colombia","75","0.2","0.0499"
"Ecuador","75","0.2","0.1"
"Guyana","74","0.7","1"
"Paraguay","57","0.3","0.2"
"Peru","68","0.2","0.0499"
"Suriname","47","0.7","0.8"
"Uruguay","56","0.3","0.1"
"Venezuela","86","0.3","0.2"
"ASIA","30","---","---"
"WESTERN ASIA","41","---","---"
"Armenia","24","0.1","0.0499"
"Azerbaijan","56","0.0499","0.0499"
"Bahrain","14","0.0499","0.0499"
"Cyprus","5","---","---"
"Georgia","48","0.1","0.1"
"Iraq","83","---","---"
"Israel","10","---","---"
"Jordan","26","0.0499","0.0499"
"Kuwait","10","0.0499","0.0499"
"Lebanon","12","0.0499","0.0499"
"Oman","11","---","---"
"Qatar","10","0.0499","0.0499"
"Saudi Arabia","9","0.0499","0.0499"
"Syria","40","---","---"
"Turkey","25","---","---"
"United Arab Emirates","28","---","---"
"Yemen","67","0.0499","0.0499"
"CENTRAL ASIA","30","---","---"
"Kazakhstan","36","0.0499","0.0499"
"Kyrgyzstan","44","0.0499","0.0499"
"Tajikistan","54","0.0499","0.0499"
"Turkmenistan","28","---","---"
"Uzbekistan","17","---","---"
"SOUTH ASIA","35","0.0499","0.0499"
"Afghanistan","78","0.0499","0.0499"
"Bangladesh","83","0.0499","0.0499"
"Bhutan","23","---","---"
"India","25","0.0499","0.0499"
"Iran","26","0.0499","0.0499"
"Maldives","7","---","---"
"Nepal","71","0.0499","0.0499"
"Pakistan","44","0.0499","0.0499"
"Sri Lanka","15","0.0499","0.0499"
"SOUTHEAST ASIA","47","0.2","0.2"
"Brunei","11","---","---"
"Cambodia","57","0.1","0.1"
"Indonesia","48","0.3","0.2"
"Laos","94","0.0499","0.1"
"Malaysia","13","0.1","0.0499"
"Myanmar","36","0.4","0.3"
"Philippines","57","0.2","0.0499"
"Singapore","4","---","---"
"Thailand","51","0.4","0.2"
"Timor-Leste","46","---","---"
"Vietnam","45","0.0499","0.0499"
"EAST ASIA","7","---","---"
"China","7","---","---"
"Japan","4","---","---"
"Korea, North","0","---","---"
"Korea, South","2","---","---"
"Mongolia","40","0.0499","0.0499"
"Taiwan","3","---","---"
"EUROPE","15","---","---"
"NORTHERN EUROPE","12","---","---"
"Denmark","3","---","---"
"Estonia","13","---","---"
"Finland","6","---","---"
"Iceland","8","---","---"
"Ireland","9","0.0499","0.0499"
"Latvia","18","0.4","0.3"
"Lithuania","14","0.0499","0.0499"
"Norway","5","---","---"
"Sweden","4","0.0499","0.0499"
"United Kingdom","14","---","---"
"WESTERN EUROPE","8","---","---"
"Austria","8","---","---"
"Belgium","7","---","---"
"France","9","0.1","0.1"
"Germany","8","---","---"
"Liechtenstein","4","---","---"
"Luxembourg","6","---","---"
"Monaco","---","---","---"
"Netherlands","3","0.0499","0.0499"
"Switzerland","3","---","---"
"EASTERN EUROPE","25","---","---"
"Belarus","20","0.0499","0.2"
"Bulgaria","39","0.0499","0.0499"
"Czech Republic","12","0.0499","0.0499"
"Hungary","23","---","---"
"Moldova","25","0.2","0.2"
"Poland","12","---","---"
"Romania","35","0.0499","0.0499"
"Russia","26","---","---"
"Slovakia","24","0.0499","0.0499"
"Ukraine","34","0.2","0.6"
"SOUTHERN EUROPE","8","0.1","0.1"
"Albania","19","0.0499","0.0499"
"Andorra","---","---","---"
"Bosnia-Herzegovina","8","---","---"
"Croatia","10","---","---"
"Greece","8","---","---"
"Italy","5","0.0499","0.0499"
"Kosovo","15","---","---"
"Macedonia","12","0.0499","0.0499"
"Malta","11","0.0499","0.0499"
"Montenegro","12","0.0499","0.2"
"Portugal","8","---","---"
"San Marino","---","---","---"
"Serbia","16","0.0499","0.0499"
"Slovenia","5","0.0499","0.0499"
"Spain","8","0.2","0.0499"
"OCEANIA","28","0.1","0.1"
"Australia","13","0.0499","0.0499"
"Federated States of Micronesia","15","---","---"
"Fiji","44","0.1","0.0499"
"French Polynesia","36","---","---"
"Guam","34","---","---"
"Kiribati","18","---","---"
"Marshall Islands","---","---","---"
"Nauru","---","---","---"
"New Caledonia","20","---","---"
"New Zealand","21","---","---"
"Palau","---","---","---"
"Papua New Guinea","54","0.2","0.3"
"Samoa","25","---","---"
"Solomon Islands","49","---","---"
"Tonga","15","---","---"
"Tuvalu","---","---","---"
"Vanuatu","43","---","---"
